image,category,width,height,colors,baselineAdapter,candidateAdapter,baselineRegions4,candidateRegions4,baselineClassicLowerBound,candidateClassicLowerBound,baselineTransitionRatio,candidateTransitionRatio,baselineTinyAreaRatio,candidateTinyAreaRatio,baselineMeanDeltaE,candidateMeanDeltaE,baselineEdgePrecision,candidateEdgePrecision,baselineEdgeRecall,candidateEdgeRecall,baselineRuntimeMs,candidateRuntimeMs,baselineLabelsPotentiallyLegible,candidateLabelsPotentiallyLegible,regions4Delta,classicLowerBoundRelativeDelta,transitionRatioDelta,tinyAreaRatioDelta,meanDeltaEDelta,edgePrecisionDelta,edgeRecallDelta,runtimeRelativeDelta,regressions,improvements,unavailableMetrics,baselineHash,candidateHash,panel
neon-cat,animal,192,192,10,classic,paintable,570,442,579,451,0.10557100785340315,0.11321989528795812,0.011420355902777778,0.006022135416666667,4.045227815601215,4.352001457140836,0.570063282965259,0.4809730250481696,0.7923173577454676,0.716926943098187,324.235,323.041,false,false,-128,-0.22107081174438686,0.0076488874345549684,-0.005398220486111111,0.30677364153962117,-0.08909025791708941,-0.07539041464728058,-0.003682514225793072,edge_recall_down_gt_3pp|edge_precision_down_gt_3pp,effort_lower_bound_down_gt_10pct|tiny_area_ratio_down_gt_0_5pp,,b62295deba328b79e87c29902c02eb67c5f42174a62cc4198ad59383c46c3969,e71faa27dac354e63ffb65607ee7505d685a2778c0b80d50e0b56615eb035488,panels/neon-cat-192x192-classic-vs-paintable.png
neon-cat,animal,512,512,10,classic,paintable,807,592,816,601,0.04810573630136986,0.049808509662426614,0.0009918212890625,0.000316619873046875,3.6859971572492896,3.5050279662005437,0.45844589226124266,0.43348808655949045,0.7560272536687631,0.7401729559748428,1825.685,1782.101,false,false,-215,-0.26348039215686275,0.0017027733610567516,-0.000675201416015625,-0.18096919104874587,-0.02495780570175221,-0.015854297693920327,-0.023872683403763428,,effort_lower_bound_down_gt_10pct,,35270280796f4ba11fe7a43f254d3440dd5ac05ba7de26a90fef8548f641bbfb,cbff82b6ba76291ea0b1fb1fc2aaf87d4a3e8f892c28285ccdf8dd86e2ff820a,panels/neon-cat-512x512-classic-vs-paintable.png
neon-cat,animal,1024,1024,10,classic,paintable,975,975,984,984,0.024853658815982404,0.02897612719941349,0.00027942657470703125,0.00013828277587890625,3.8839604713765077,3.0735164929556724,0.45589675635190413,0.42831257824339464,0.7293311622476881,0.7988571077452457,6927.607,6407.229,false,false,0,0,0.004122468383431086,-0.000141143798828125,-0.8104439784208353,-0.027584178108509494,0.06952594549755753,-0.07511655900803837,,edge_recall_up_gt_3pp|mean_delta_e_down_gt_0_75,,5a0872e04684b3df86ffa28e158d25169e972a322aab91b62a550de443225060,6e55d5df21360017c861c2b561057801e5be3fbb7425b57e2e4f2d9d154b7b88,panels/neon-cat-1024x1024-classic-vs-paintable.png
neon-cat,animal,1200,1200,10,classic,paintable,1083,1011,1092,1020,0.02241729218793439,0.026309077008618294,0.00022847222222222222,0.00010138888888888889,3.8915470253184776,2.952353478727006,0.43177590376387426,0.4072542829593036,0.7186572748148722,0.7955208091441546,12019.132,9697.641,false,false,-72,-0.06593406593406594,0.003891784820683905,-0.00012708333333333332,-0.9391935465914716,-0.024521620804570654,0.07686353432928239,-0.19314963842646873,,edge_recall_up_gt_3pp|mean_delta_e_down_gt_0_75,,1acbfeb6e396b7acae8967db1b4c541503203dce5d8cc876aeed1de9a4e15376,d82117ed85b97a0e721009f8e26c8fda7a5f17ad2e734a4980c5561dfad3f52a,panels/neon-cat-1200x1200-classic-vs-paintable.png
astro-whale,animal,192,192,10,classic,paintable,369,303,378,312,0.04999727312390925,0.055846422338568937,0.007432725694444444,0.004123263888888889,3.584896160656879,2.8864276612966933,0.8442868830106354,0.8486328125,0.6220614828209765,0.6984126984126984,332.024,303.525,false,false,-66,-0.1746031746031746,0.005849149214659684,-0.003309461805555555,-0.6984684993601857,0.0043459294893646305,0.07635121559172187,-0.08583415656699522,,effort_lower_bound_down_gt_10pct|edge_recall_up_gt_3pp,,d656d73c2fa9f01ae1deecc93a240d41f777f756532614f5b6a9f8200f78511b,88fa1fd5a62a76adbe1f9ef46038c5da995dc5f9e726b0d652621a6a6b566eb4,panels/astro-whale-192x192-classic-vs-paintable.png
astro-whale,animal,512,512,10,classic,paintable,527,535,536,544,0.021153757950097846,0.024513438723091977,0.00074005126953125,0.00046539306640625,3.1433582802177966,2.048218681637991,0.8288914987803776,0.7989397364933344,0.6908365333935698,0.7716286424215044,1783.649,1868.91,false,false,8,0.014925373134328358,0.003359680772994131,-0.000274658203125,-1.0951395985798058,-0.029951762287043215,0.08079210902793466,0.047801445239506316,,edge_recall_up_gt_3pp|mean_delta_e_down_gt_0_75,,ffc53f02784964111682bd7f4ffd7d5827436f6e3803066a848f6a824e2a290d,e98cd11988debf0ff49bbfa90ac8d85d0501755768019808fb45d16609ef2446,panels/astro-whale-512x512-classic-vs-paintable.png
alpine-train,landscape,192,192,10,classic,paintable,393,337,402,346,0.12093695462478185,0.1203506762652705,0.005859375,0.003689236111111111,10.11134062231334,10.179045565610673,0.7056369785794814,0.6887957403421321,0.7494013409961686,0.7279693486590039,277.293,277.821,false,false,-56,-0.13930348258706468,-0.0005862783595113469,-0.002170138888888889,0.06770494329733268,-0.016841238237349287,-0.02143199233716475,0.0019041230755915944,,effort_lower_bound_down_gt_10pct,,53a7de0cd1ddc62a5e5da41db7b6b51b0ef5d3245d51cdcab030451fb5121c5d,60d3c06821f7f7ea207ddec215493edd66e2fc84520b967edee46f131fb7331d,panels/alpine-train-192x192-classic-vs-paintable.png
alpine-train,landscape,512,512,10,classic,paintable,650,502,659,511,0.05025570266634051,0.0511500886741683,0.000690460205078125,0.0001983642578125,9.984552779580383,9.405924926509499,0.6491234741605506,0.6522323930506259,0.7635534084809447,0.7808641975308642,1666.111,1660.466,false,false,-148,-0.22458270106221548,0.000894386007827791,-0.000492095947265625,-0.5786278530708842,0.003108918890075252,0.01731078904991956,-0.0033881296024095685,,effort_lower_bound_down_gt_10pct,,8f5e894f1c9c002b39ceb1b1ab8be543e8bf287f0fe9d9267cc1787d3eed54fc,0f456610bf4240030fb782aa05221a41423d59820600aa0ad0d3a1e2b037dfc8,panels/alpine-train-512x512-classic-vs-paintable.png
lantern-fox,animal,192,192,10,classic,paintable,212,300,221,309,0.08989147033158813,0.11454243019197208,0.0028211805555555555,0.0028483072916666665,9.098212130576334,8.033943468043113,0.5560442893978462,0.5320795143435305,0.5806145074437757,0.7079505859993664,276.006,256.909,false,false,88,0.39819004524886875,0.024650959860383945,0.000027126736111111015,-1.0642686625332214,-0.023964775054315712,0.1273360785555907,-0.06919052484366275,effort_lower_bound_gt_5pct|transition_ratio_gt_1pp,edge_recall_up_gt_3pp|mean_delta_e_down_gt_0_75,,d785a2fd5f6ef8ddbb6e963e735eb69c845e6f2b6a1311e2c7f19c99d8c574dd,9335d6d05753f7b95c95d884c05ad2fe9ddc34d637200d6c85e8cdcdb4d159a5,panels/lantern-fox-192x192-classic-vs-paintable.png
lantern-fox,animal,512,512,10,classic,paintable,405,569,414,578,0.04205907534246575,0.05407595401174168,0.000308990478515625,0.0001983642578125,8.592945215038412,7.280029244511866,0.5108142493638677,0.4742013005371784,0.6793159707535199,0.810804278204121,1795.677,1559.221,false,false,164,0.3961352657004831,0.012016878669275928,-0.000110626220703125,-1.3129159705265465,-0.03661294882668925,0.13148830745060114,-0.13168069758648127,effort_lower_bound_gt_5pct|transition_ratio_gt_1pp|edge_precision_down_gt_3pp,edge_recall_up_gt_3pp|mean_delta_e_down_gt_0_75,,479fe61c69a35dccccc6e638784072a95a411d764a4cfac408a3174554784609,3a8e58831f494ea91e315b8b029a0638fd062e32768912653fc3dabad9f6b062,panels/lantern-fox-512x512-classic-vs-paintable.png
