adapter,stylePreset,pipelineVersion,resultFingerprint,image,category,width,height,colors,runtimeMs,evaluationRuntimeMs,sourceSamplingMs,outputHash,regions4,regions8,regionDensity4Per10k,regionDensity8Per10k,singletonCount,singletonAreaRatio,tinyAreaRatio,highContrastTinyCount,lowContrastTinyCount,transitionRatio,compactnessMean,compactnessP90,paletteUsed,paletteEntropyBits,meanDeltaE,edgePrecision,edgeRecall,idealRegionTaps,classicLowerBound,conservativeManualTapLowerBound,previewCellPixels,readableCellRatio,labelsPotentiallyLegible,panel
classic,classic,classic-v1,fnv1a-c06e7552,neon-cat,animal,192,192,10,324.235,82.427,353.898,b62295deba328b79e87c29902c02eb67c5f42174a62cc4198ad59383c46c3969,570,388,154.62239583333334,105.25173611111111,191,0.005181206597222222,0.011420355902777778,287,4,0.10557100785340315,0.6097341502992554,0.7853981633974483,10,1.9517666219476337,4.045227815601215,0.570063282965259,0.7923173577454676,570,579,876,1.6666666666666667,0,false,panels/neon-cat-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,fnv1a-ae685728,neon-cat,animal,192,192,10,323.041,78.07,353.898,e71faa27dac354e63ffb65607ee7505d685a2778c0b80d50e0b56615eb035488,442,380,119.90017361111111,103.08159722222221,126,0.00341796875,0.006022135416666667,164,1,0.11321989528795812,0.5711162583360504,0.7853981633974483,10,1.966940191243717,4.352001457140836,0.4809730250481696,0.716926943098187,442,451,616,1.6666666666666667,0,false,panels/neon-cat-192x192-classic-vs-paintable.png
classic,classic,classic-v1,fnv1a-c5c910c9,neon-cat,animal,512,512,10,1825.685,328.506,1133.233,35270280796f4ba11fe7a43f254d3440dd5ac05ba7de26a90fef8548f641bbfb,807,603,30.78460693359375,23.00262451171875,96,0.0003662109375,0.0009918212890625,98,26,0.04810573630136986,0.508913212125102,0.7853981633974483,10,2.0146006540395405,3.6859971572492896,0.45844589226124266,0.7560272536687631,807,816,985,0.625,0,false,panels/neon-cat-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,fnv1a-f0db1c6f,neon-cat,animal,512,512,10,1782.101,304.534,1133.233,cbff82b6ba76291ea0b1fb1fc2aaf87d4a3e8f892c28285ccdf8dd86e2ff820a,592,499,22.5830078125,19.03533935546875,51,0.000194549560546875,0.000316619873046875,63,0,0.049808509662426614,0.4511131169843476,0.7853981633974483,10,2.0422460151947583,3.5050279662005437,0.43348808655949045,0.7401729559748428,592,601,659,0.625,0,false,panels/neon-cat-512x512-classic-vs-paintable.png
classic,classic,classic-v1,fnv1a-a6a72a01,neon-cat,animal,1024,1024,10,6927.607,910.484,5138.133,5a0872e04684b3df86ffa28e158d25169e972a322aab91b62a550de443225060,975,764,9.298324584960938,7.28607177734375,133,0.00012683868408203125,0.00027942657470703125,147,19,0.024853658815982404,0.4383572461498722,0.7853981633974483,10,1.9244382116866354,3.8839604713765077,0.45589675635190413,0.7293311622476881,975,984,1188,0.3125,0,false,panels/neon-cat-1024x1024-classic-vs-paintable.png
paintable,paintable,paintable-v1,fnv1a-f4864305,neon-cat,animal,1024,1024,10,6407.229,978.881,5138.133,6e55d5df21360017c861c2b561057801e5be3fbb7425b57e2e4f2d9d154b7b88,975,794,9.298324584960938,7.572174072265625,105,0.00010013580322265625,0.00013828277587890625,118,0,0.02897612719941349,0.38545960698076387,0.7853981633974483,10,1.975788907373698,3.0735164929556724,0.42831257824339464,0.7988571077452457,975,984,1100,0.3125,0,false,panels/neon-cat-1024x1024-classic-vs-paintable.png
classic,classic,classic-v1,fnv1a-79a63793,neon-cat,animal,1200,1200,10,12019.132,1600.158,6895.812,1acbfeb6e396b7acae8967db1b4c541503203dce5d8cc876aeed1de9a4e15376,1083,839,7.520833333333333,5.826388888888889,161,0.00011180555555555556,0.00022847222222222222,182,11,0.02241729218793439,0.4313466827985613,0.7853981633974483,10,1.9551040857539455,3.8915470253184776,0.43177590376387426,0.7186572748148722,1083,1092,1328,0.26666666666666666,0,false,panels/neon-cat-1200x1200-classic-vs-paintable.png
paintable,paintable,paintable-v1,fnv1a-a420f8f2,neon-cat,animal,1200,1200,10,9697.641,1547.738,6895.812,d82117ed85b97a0e721009f8e26c8fda7a5f17ad2e734a4980c5561dfad3f52a,1011,807,7.020833333333333,5.604166666666666,90,0.0000625,0.00010138888888888889,117,0,0.026309077008618294,0.3657282656334575,0.7845808916353281,10,1.9780658946861367,2.952353478727006,0.4072542829593036,0.7955208091441546,1011,1020,1129,0.26666666666666666,0,false,panels/neon-cat-1200x1200-classic-vs-paintable.png
classic,classic,classic-v1,fnv1a-e63a11ad,astro-whale,animal,192,192,10,332.024,57.694,208.359,d656d73c2fa9f01ae1deecc93a240d41f777f756532614f5b6a9f8200f78511b,369,284,100.09765625,77.03993055555556,138,0.0037434895833333335,0.007432725694444444,205,0,0.04999727312390925,0.6429905567518828,0.7853981633974483,10,1.5765670063942174,3.584896160656879,0.8442868830106354,0.6220614828209765,369,378,575,1.6666666666666667,0,false,panels/astro-whale-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,fnv1a-14c2d025,astro-whale,animal,192,192,10,303.525,57.803,208.359,88fa1fd5a62a76adbe1f9ef46038c5da995dc5f9e726b0d652621a6a6b566eb4,303,267,82.19401041666666,72.42838541666667,80,0.002170138888888889,0.004123263888888889,104,0,0.055846422338568937,0.5956211204395363,0.7853981633974483,10,1.6222359117696084,2.8864276612966933,0.8486328125,0.6984126984126984,303,312,419,1.6666666666666667,0,false,panels/astro-whale-192x192-classic-vs-paintable.png
