image,category,width,height,colors,baselineAdapter,candidateAdapter,baselineRegions4,candidateRegions4,baselineClassicLowerBound,candidateClassicLowerBound,baselineTransitionRatio,candidateTransitionRatio,baselineTinyAreaRatio,candidateTinyAreaRatio,baselineMeanDeltaE,candidateMeanDeltaE,baselineEdgePrecision,candidateEdgePrecision,baselineEdgeRecall,candidateEdgeRecall,baselineRuntimeMs,candidateRuntimeMs,baselineLabelsPotentiallyLegible,candidateLabelsPotentiallyLegible,regions4Delta,classicLowerBoundRelativeDelta,transitionRatioDelta,tinyAreaRatioDelta,meanDeltaEDelta,edgePrecisionDelta,edgeRecallDelta,runtimeRelativeDelta,regressions,improvements,unavailableMetrics,baselineHash,candidateHash,panel
portrait-jessica-meir,portrait,192,192,10,classic,paintable,701,367,710,376,0.0903277705061082,0.08522851221640489,0.013970269097222222,0.004991319444444444,3.8652468922049996,3.7797726834558287,0.48483018867924527,0.48472244440889456,0.6733752620545074,0.6352201257861635,362.064,354.093,false,false,-334,-0.4704225352112676,-0.005099258289703312,-0.008978949652777778,-0.08547420874917089,-0.000107744270350707,-0.03815513626834388,-0.02201544478324275,edge_recall_down_gt_3pp,effort_lower_bound_down_gt_10pct|tiny_area_ratio_down_gt_0_5pp,,b63ea293f0488821149ac69e1704bda730cdfcfd4cd74877f57033829989bf83,fed9a1a2f2f31e5ae2103c76e7d7addec097faacc56f7b40e0790545e97c9be7,panels/portrait-jessica-meir-192x192-classic-vs-paintable.png
portrait-jessica-meir,portrait,512,512,10,classic,paintable,3920,1221,3929,1230,0.0750615368150685,0.055985124143835614,0.011051177978515625,0.00252532958984375,3.3860911053760674,3.072183364017633,0.2822262392748937,0.31595835466803207,0.7317314674235923,0.610997425572645,2138.144,1893.245,false,false,-2699,-0.6869432425553575,-0.019076412671232883,-0.008525848388671875,-0.3139077413584346,0.03373211539313836,-0.12073404185094727,-0.11453812278312402,edge_recall_down_gt_3pp,effort_lower_bound_down_gt_10pct|transition_ratio_down_gt_1pp|tiny_area_ratio_down_gt_0_5pp|edge_precision_up_gt_3pp,,3360698b5b590c28284a17a3ecd90ccf687d838896cdfcaf154218dd1146df6f,663e40d549f3fc0a12c6e1b83b0bdc31c9772e463ac5e32a03f1ede49d45a6fc,panels/portrait-jessica-meir-512x512-classic-vs-paintable.png
animal-iguana-venezuela,animal,192,192,10,classic,paintable,161,230,170,239,0.06255453752181502,0.08142452006980803,0.0033365885416666665,0.003119574652777778,6.3801052622923935,6.263991284391927,0.38448125544899736,0.37776289350301406,0.3168103448275862,0.4051724137931034,682.902,409.832,false,false,69,0.40588235294117647,0.01886998254799302,-0.00021701388888888855,-0.11611397790046674,-0.006718361945983298,0.08836206896551724,-0.3998670380230253,effort_lower_bound_gt_5pct|transition_ratio_gt_1pp,edge_recall_up_gt_3pp,,8c7e4c2d05281a55924adef925221e3578f274724f2d9acaf370b36272574820,bd3c61a9a8fe8d704df8864237b345d1df8f418f1bbb7edb44ed7c3b43953492,panels/animal-iguana-venezuela-192x192-classic-vs-paintable.png
animal-iguana-venezuela,animal,512,512,10,classic,paintable,3720,1103,3729,1112,0.0829543022260274,0.05861477189334638,0.010345458984375,0.00261688232421875,8.464966734737118,7.975991550331173,0.4744396065150782,0.4870398748003,0.3507988961945968,0.2544543998909822,2108.737,2027.344,false,false,-2617,-0.701796728345401,-0.02433953033268102,-0.00772857666015625,-0.4889751844059447,0.01260026828522176,-0.09634449630361464,-0.03859798542919294,edge_recall_down_gt_3pp,effort_lower_bound_down_gt_10pct|transition_ratio_down_gt_1pp|tiny_area_ratio_down_gt_0_5pp,,6184b928d00b7664c154bea8da7229bd116a7579fceb4d7fcad0522ae3085978,dafa7ffaefc03f22d7a96c8365a7b4d800666b5e3ec53a1e3010e022f5ff2783,panels/animal-iguana-venezuela-512x512-classic-vs-paintable.png
landscape-utah-dunes,landscape,192,192,10,classic,paintable,84,82,93,91,0.05825970767888307,0.06950807155322862,0.001193576388888889,0.00018988715277777778,5.031223722491834,4.741293826648972,0.28691785630704425,0.2918791683012946,0.6514346439957492,0.7906482465462275,368.966,383.533,false,false,-2,-0.021505376344086023,0.011248363874345552,-0.0010036892361111112,-0.289929895842862,0.0049613119942503725,0.1392136025504782,0.039480602548744345,transition_ratio_gt_1pp,edge_recall_up_gt_3pp,,49e66a2e28f81a878da8d63d108f54e51b5112d815bc24170d3cdd857f024b38,ab5de3a831ed1cbf86757f6ab8f385977a796451e4bf95c142e6a0260bf3589a,panels/landscape-utah-dunes-192x192-classic-vs-paintable.png
landscape-utah-dunes,landscape,512,512,10,classic,paintable,298,141,307,150,0.031328354329745595,0.036620138209393346,0.000690460205078125,0.000064849853515625,5.127896272612247,4.7418956251750615,0.25108277923503936,0.23765786452353616,0.4435822825735532,0.49078564500484967,1972.559,1809.307,false,false,-157,-0.511400651465798,0.005291783879647752,-0.0006256103515625,-0.38600064743718576,-0.0134249147115032,0.04720336243129647,-0.08276152956641598,,effort_lower_bound_down_gt_10pct|edge_recall_up_gt_3pp,,e42ea8d6d6340bb1e9910ac64cb8a8fcdb726c233d74d66eaf0416133d50ce70,0718334c13ec1a3010f67e74fedff64d0b0e362f7189c3b8c1ec768f111f1cc5,panels/landscape-utah-dunes-512x512-classic-vs-paintable.png
object-palm-wine-cup,object,192,192,10,classic,paintable,40,51,49,60,0.035422120418848166,0.03967604712041885,0.00043402777777777775,0.00010850694444444444,2.0426450239974656,1.8286284571861162,0.3056197074672825,0.2876288659793814,0.8357894736842105,0.8810526315789474,294.154,309.488,false,false,11,0.22448979591836735,0.004253926701570682,-0.0003255208333333333,-0.2140165668113494,-0.017990841487901088,0.045263157894736894,0.05212915683621506,effort_lower_bound_gt_5pct,edge_recall_up_gt_3pp,,c29764b74d184c0fdb63cb2bd666cb5b67f20a87e4b91a032bc2285b49539e7b,09023b3411d0666e34f2a536e7620a31f1e650a05488bacca48ee3c432e6a354,panels/object-palm-wine-cup-192x192-classic-vs-paintable.png
object-palm-wine-cup,object,512,512,10,classic,paintable,126,80,135,89,0.017685145547945206,0.021314288772015657,0.00035858154296875,0.000034332275390625,2.114327877634082,1.864349413065952,0.20315539226280527,0.16677127230341612,0.8234778799824792,0.8147174770039421,2103.468,1907.494,false,false,-46,-0.34074074074074073,0.003629143224070451,-0.000324249267578125,-0.24997846456813022,-0.036384119959389144,-0.008760402978537085,-0.09316709358069623,edge_precision_down_gt_3pp,effort_lower_bound_down_gt_10pct,,465d0f5a5ebe52651dc416c95591bb039cb68a6458226d7feda78afb26a87e65,5581786cb4045502d88c2afac44bc679760a68f052b59c3d8a38558691027484,panels/object-palm-wine-cup-512x512-classic-vs-paintable.png
gradient-golden-gate-fog,gradient,192,192,10,classic,paintable,103,83,112,92,0.043207351657940665,0.04312554537521815,0.0016547309027777778,0.0008138020833333334,5.954567113470047,5.942831160025283,0.41211738718838753,0.39108441353145745,0.6673479816044967,0.6320899335717935,344.992,280.999,false,false,-20,-0.17857142857142858,-0.00008180628272251578,-0.0008409288194444444,-0.011735953444763858,-0.021032973656930076,-0.03525804803270316,-0.18549125776829606,edge_recall_down_gt_3pp,effort_lower_bound_down_gt_10pct,,5fa073bea786a6a071b6cdfa3b2f2a35f0fa8c77b79d6c556fd26816d4cf2ab0,3c8898597bd63a95086a1e840ec49802643937c52229715d406cdba628d92624,panels/gradient-golden-gate-fog-192x192-classic-vs-paintable.png
gradient-golden-gate-fog,gradient,512,512,10,classic,paintable,449,223,458,232,0.022728488869863013,0.02166401663405088,0.001190185546875,0.00043487548828125,6.004385411452631,6.038923583692508,0.3719835197174809,0.35259350741002116,0.5479995045212437,0.4951071472810603,2082.908,1937.238,false,false,-226,-0.49344978165938863,-0.001064472235812134,-0.00075531005859375,0.034538172239876985,-0.019390012307459736,-0.052892357240183374,-0.06993587810887464,edge_recall_down_gt_3pp,effort_lower_bound_down_gt_10pct,,a66aa37ba4c89e1a8c4c889fbf7435c4e0f589c040b300aab5079da461ffdffd,6dde3e19bb4c936d52935f3133ba3c51673ea14c102da97304db4ad47774144d,panels/gradient-golden-gate-fog-512x512-classic-vs-paintable.png
