adapter,stylePreset,pipelineVersion,resultFingerprint,previewPixelFingerprint,image,category,license,sourcePage,sourceSha256,width,height,colors,runtimeMs,evaluationRuntimeMs,sourceSamplingMs,outputHash,regions4,regions8,regionDensity4Per10k,regionDensity8Per10k,singletonCount,singletonAreaRatio,tinyAreaRatio,highContrastTinyCount,lowContrastTinyCount,transitionRatio,compactnessMean,compactnessP90,paletteUsed,paletteEntropyBits,meanDeltaE,edgePrecision,edgeRecall,idealRegionTaps,classicLowerBound,conservativeManualTapLowerBound,producerRegionCount,producerRegionDelta,producerTinyAreaRatio,producerTinyAreaDelta,producerEffortLowerBound,producerMetricsMatch,previewCellPixels,readableCellRatio,labelsPotentiallyLegible,panel
classic,classic,classic-v1,px128-f2185c6318a75e2b841e94ab841152e7,rgba128-4049ef5c810a5c88b5e2d5ea5549a14c,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,192,192,10,362.064,92.905,427.364,b63ea293f0488821149ac69e1704bda730cdfcfd4cd74877f57033829989bf83,701,538,190.15842013888889,145.94184027777777,325,0.008816189236111112,0.013970269097222222,159,54,0.0903277705061082,0.6204213976411328,0.7853981633974483,10,2.605646398841618,3.8652468922049996,0.48483018867924527,0.6733752620545074,701,710,1121,,,,,,,1.6666666666666667,0,false,panels/portrait-jessica-meir-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-5ea452aab6cd9726ba25ea70c21f5972,rgba128-b7d191687e00840497db32de84317f90,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,192,192,10,354.093,92.881,427.364,fed9a1a2f2f31e5ae2103c76e7d7addec097faacc56f7b40e0790545e97c9be7,367,348,99.55512152777779,94.40104166666666,96,0.0026041666666666665,0.004991319444444444,75,6,0.08522851221640489,0.5199497752799324,0.7853981633974483,10,2.6027257442400646,3.7797726834558287,0.48472244440889456,0.6352201257861635,367,376,507,367,0,0.004991319444444444,0,367,true,1.6666666666666667,0,false,panels/portrait-jessica-meir-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-c1bec85c30326790d17d4e0645273b74,rgba128-7c6d5b084c3a7854eca8a1fec2462300,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,512,512,10,2138.144,425.255,1406.681,3360698b5b590c28284a17a3ecd90ccf687d838896cdfcaf154218dd1146df6f,3920,2629,149.5361328125,100.28839111328125,1813,0.006916046142578125,0.011051177978515625,566,413,0.0750615368150685,0.6188409844222603,0.7853981633974483,10,2.584879746335771,3.3860911053760674,0.2822262392748937,0.7317314674235923,3920,3929,6275,,,,,,,0.625,0,false,panels/portrait-jessica-meir-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-a62e5c3927c5f0b1c1e03af1a32e90ed,rgba128-6bc60fa26a60bd7e305b60780363d0f2,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,512,512,10,1893.245,340.133,1406.681,663e40d549f3fc0a12c6e1b83b0bdc31c9772e463ac5e32a03f1ede49d45a6fc,1221,1109,46.57745361328125,42.30499267578125,380,0.0014495849609375,0.00252532958984375,247,20,0.055985124143835614,0.5254998707606092,0.7853981633974483,10,2.5752798398394265,3.072183364017633,0.31595835466803207,0.610997425572645,1221,1230,1742,1221,0,0.00252532958984375,0,1221,true,0.625,0,false,panels/portrait-jessica-meir-512x512-classic-vs-paintable.png
classic,classic,classic-v1,px128-25f4104557d201cd2f6d918d5a1a8481,rgba128-99fbdf4d2498d7e5ebf5b81d04ef9e01,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,1024,1024,10,8059.176,1190.404,5221.283,bafc02f13964f0bd548de8d635c78c61f56210c16a0d44a4b10b01e9ff9aff82,14219,9078,135.6029510498047,86.57455444335938,6409,0.006112098693847656,0.010491371154785156,1838,1959,0.06954929206378299,0.6201022159798546,0.7853981633974483,10,2.5580556079202807,3.235306293235169,0.21525876208711645,0.7564269522018039,14219,14228,22924,,,,,,,0.3125,0,false,
classic,classic,classic-v1,px128-f4eb5ab8701f42dc5a121032739099a8,rgba128-b98f8f27bc5a388bfa02c1e95acc6d5f,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,1200,1200,10,11099.297,1834.156,7506.741,b8ef1fa75192014a619db9248aa69ecf9798626c6d3920638cedd7680aee0173,13799,9224,95.82638888888889,64.05555555555556,6040,0.004194444444444444,0.0071375,2218,1899,0.05912739783152627,0.6111403281983497,0.7853981633974483,10,2.576298412684823,3.3862515114097134,0.20203943695083607,0.7365759588600814,13799,13808,21958,,,,,,,0.26666666666666666,0,false,
classic,classic,classic-v1,px128-cdfd349db313aed9a7dabaef6724c23d,rgba128-17ec819802dc9ec0eb617b18a48b56f4,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,192,192,10,682.902,102.72,278.378,8c7e4c2d05281a55924adef925221e3578f274724f2d9acaf370b36272574820,161,134,43.67404513888889,36.34982638888889,77,0.0020887586805555555,0.0033365885416666665,26,16,0.06255453752181502,0.6120665992531527,0.7853981633974483,10,2.9775227142345218,6.3801052622923935,0.38448125544899736,0.3168103448275862,161,170,261,,,,,,,1.6666666666666667,0,false,panels/animal-iguana-venezuela-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-1491308a4b64b2aa05d09a8671ab0c9e,rgba128-58c165c9e4cd42318020cf31218c70e5,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,192,192,10,409.832,74.795,278.378,bd3c61a9a8fe8d704df8864237b345d1df8f418f1bbb7edb44ed7c3b43953492,230,214,62.39149305555556,58.05121527777778,69,0.0018717447916666667,0.003119574652777778,10,15,0.08142452006980803,0.5142778427230267,0.7853981633974483,10,2.8918781446286865,6.263991284391927,0.37776289350301406,0.4051724137931034,230,239,322,230,0,0.003119574652777778,0,230,true,1.6666666666666667,0,false,panels/animal-iguana-venezuela-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-4de2c7b48bc5e170b71a0f06a5f7fcf4,rgba128-3d2f7580aceeea7ccddf385a22044f50,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,512,512,10,2108.737,332.978,1362.809,6184b928d00b7664c154bea8da7229bd116a7579fceb4d7fcad0522ae3085978,3720,2466,141.90673828125,94.0704345703125,1516,0.0057830810546875,0.010345458984375,330,270,0.0829543022260274,0.6171441877629706,0.7853981633974483,10,3.018604309312284,8.464966734737118,0.4744396065150782,0.3507988961945968,3720,3729,5834,,,,,,,0.625,0,false,panels/animal-iguana-venezuela-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-ddaad1837b7f2ecbbffb92b78f9a68ff,rgba128-db8ace345eccbf609d38049a2e3af2d4,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,512,512,10,2027.344,345.632,1362.809,dafa7ffaefc03f22d7a96c8365a7b4d800666b5e3ec53a1e3010e022f5ff2783,1103,1030,42.07611083984375,39.2913818359375,346,0.00131988525390625,0.00261688232421875,224,10,0.05861477189334638,0.5878917668126589,0.7853981633974483,10,3.0064381301015852,7.975991550331173,0.4870398748003,0.2544543998909822,1103,1112,1619,1103,0,0.00261688232421875,0,1103,true,0.625,0,false,panels/animal-iguana-venezuela-512x512-classic-vs-paintable.png
