adapter,stylePreset,pipelineVersion,resultFingerprint,image,category,license,sourcePage,sourceSha256,width,height,colors,runtimeMs,evaluationRuntimeMs,sourceSamplingMs,outputHash,regions4,regions8,regionDensity4Per10k,regionDensity8Per10k,singletonCount,singletonAreaRatio,tinyAreaRatio,highContrastTinyCount,lowContrastTinyCount,transitionRatio,compactnessMean,compactnessP90,paletteUsed,paletteEntropyBits,meanDeltaE,edgePrecision,edgeRecall,idealRegionTaps,classicLowerBound,conservativeManualTapLowerBound,previewCellPixels,readableCellRatio,labelsPotentiallyLegible,panel
classic,classic,classic-v1,fnv1a-23793e85,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,192,192,10,419.432,103.939,410.642,b63ea293f0488821149ac69e1704bda730cdfcfd4cd74877f57033829989bf83,701,538,190.15842013888889,145.94184027777777,325,0.008816189236111112,0.013970269097222222,159,54,0.0903277705061082,0.6204213976411328,0.7853981633974483,10,2.605646398841618,3.8652468922049996,0.48483018867924527,0.6733752620545074,701,710,1121,1.6666666666666667,0,false,panels/portrait-jessica-meir-192x192.png
classic,classic,classic-v1,fnv1a-f8fd9a92,portrait-jessica-meir,portrait,Public domain,https://commons.wikimedia.org/wiki/File:Jessica_Meir_official_portrait_in_an_EMU_(B%26W).jpg,53f00ccbe889a745c4a085dde02732065fbec59f2bca1f9dfaae211b0251effe,512,512,10,1815.73,445.553,1216.036,3360698b5b590c28284a17a3ecd90ccf687d838896cdfcaf154218dd1146df6f,3920,2629,149.5361328125,100.28839111328125,1813,0.006916046142578125,0.011051177978515625,566,413,0.0750615368150685,0.6188409844222603,0.7853981633974483,10,2.584879746335771,3.3860911053760674,0.2822262392748937,0.7317314674235923,3920,3929,6275,0.625,0,false,panels/portrait-jessica-meir-512x512.png
classic,classic,classic-v1,fnv1a-68201930,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,192,192,10,330.445,48.819,238.675,8c7e4c2d05281a55924adef925221e3578f274724f2d9acaf370b36272574820,161,134,43.67404513888889,36.34982638888889,77,0.0020887586805555555,0.0033365885416666665,26,16,0.06255453752181502,0.6120665992531527,0.7853981633974483,10,2.9775227142345218,6.3801052622923935,0.38448125544899736,0.3168103448275862,161,170,261,1.6666666666666667,0,false,panels/animal-iguana-venezuela-192x192.png
classic,classic,classic-v1,fnv1a-23451dda,animal-iguana-venezuela,animal,CC0 1.0,https://commons.wikimedia.org/wiki/File:Iguana_de_Venezuela.jpg,f68277b68f18d89806ba0a9ead1e9408c9e0fb64db6b220ba34f6ee8a30b9016,512,512,10,1806.877,341.43,1356.253,6184b928d00b7664c154bea8da7229bd116a7579fceb4d7fcad0522ae3085978,3720,2466,141.90673828125,94.0704345703125,1516,0.0057830810546875,0.010345458984375,330,270,0.0829543022260274,0.6171441877629706,0.7853981633974483,10,3.018604309312284,8.464966734737118,0.4744396065150782,0.3507988961945968,3720,3729,5834,0.625,0,false,panels/animal-iguana-venezuela-512x512.png
classic,classic,classic-v1,fnv1a-866dea5e,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,192,192,10,248.065,46.127,199.013,49e66a2e28f81a878da8d63d108f54e51b5112d815bc24170d3cdd857f024b38,84,80,22.786458333333336,21.70138888888889,32,0.0008680555555555555,0.001193576388888889,14,0,0.05825970767888307,0.4943791003935879,0.7853981633974483,10,2.876040446965723,5.031223722491834,0.28691785630704425,0.6514346439957492,84,93,122,1.6666666666666667,0,false,panels/landscape-utah-dunes-192x192.png
classic,classic,classic-v1,fnv1a-ee77c27a,landscape-utah-dunes,landscape,Public domain,https://commons.wikimedia.org/wiki/File:Utah_Dunes_Landscape_-_West_Desert_District.jpg,cefccb9b95f999a2444bb72cde06d5384b0144c6b67afe8bdff80b60146ba6bc,512,512,10,1555.41,283.988,1117.573,e42ea8d6d6340bb1e9910ac64cb8a8fcdb726c233d74d66eaf0416133d50ce70,298,255,11.3677978515625,9.72747802734375,99,0.000377655029296875,0.000690460205078125,67,5,0.031328354329745595,0.560618769897585,0.7853981633974483,10,2.8294344946894237,5.127896272612247,0.25108277923503936,0.4435822825735532,298,307,438,0.625,0,false,panels/landscape-utah-dunes-512x512.png
classic,classic,classic-v1,fnv1a-14cb2198,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,192,192,10,266.129,48.945,203.423,c29764b74d184c0fdb63cb2bd666cb5b67f20a87e4b91a032bc2285b49539e7b,40,35,10.850694444444445,9.49435763888889,10,0.0002712673611111111,0.00043402777777777775,3,3,0.035422120418848166,0.4255789589377531,0.7853981633974483,10,2.846862377035259,2.0426450239974656,0.3056197074672825,0.8357894736842105,40,49,53,1.6666666666666667,0,false,panels/object-palm-wine-cup-192x192.png
classic,classic,classic-v1,fnv1a-01999485,object-palm-wine-cup,object,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Palm_Wine_Cup,_Br%C3%BCcke-Museum_Berlin,_65048,_view_a.jpg",589da43e6f7f86e2ae3b41d33e4cb06f8c2560b54e358818203accefb02f40f6,512,512,10,1638.385,292.981,1094.074,465d0f5a5ebe52651dc416c95591bb039cb68a6458226d7feda78afb26a87e65,126,100,4.8065185546875,3.814697265625,54,0.00020599365234375,0.00035858154296875,8,12,0.017685145547945206,0.5802011255959579,0.7853981633974483,10,2.816547294209944,2.114327877634082,0.20315539226280527,0.8234778799824792,126,135,200,0.625,0,false,panels/object-palm-wine-cup-512x512.png
classic,classic,classic-v1,fnv1a-dc4f3272,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,192,192,10,241.552,45.384,190.187,5fa073bea786a6a071b6cdfa3b2f2a35f0fa8c77b79d6c556fd26816d4cf2ab0,103,98,27.940538194444446,26.58420138888889,21,0.0005696614583333334,0.0016547309027777778,41,0,0.043207351657940665,0.5303234471315851,0.7853981633974483,10,2.8236693854400956,5.954567113470047,0.41211738718838753,0.6673479816044967,103,112,144,1.6666666666666667,0,false,panels/gradient-golden-gate-fog-192x192.png
classic,classic,classic-v1,fnv1a-d1a9e315,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,512,512,10,2023.839,444.251,1077.788,a66aa37ba4c89e1a8c4c889fbf7435c4e0f589c040b300aab5079da461ffdffd,449,394,17.12799072265625,15.0299072265625,152,0.000579833984375,0.001190185546875,224,0,0.022728488869863013,0.6055031009448265,0.7853981633974483,10,2.789105499830662,6.004385411452631,0.3719835197174809,0.5479995045212437,449,458,681,0.625,0,false,panels/gradient-golden-gate-fog-512x512.png
classic,classic,classic-v1,fnv1a-ad14047b,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,192,192,10,361.272,49.838,305.499,038eeae28c52eaefdb790de6572fe7cf630c0f7a9e58c22f0b9385573854f0fb,533,422,144.58550347222223,114.47482638888889,302,0.008192274305555556,0.012315538194444444,371,0,0.056732657068062825,0.6735912788386158,0.7853981633974483,10,2.3541345765163912,1.9794768792657527,0.9182888728670993,0.8197811628405921,533,542,911,1.6666666666666667,0,false,panels/illustration-paint-brush-192x192.png
classic,classic,classic-v1,fnv1a-e2644336,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,512,512,10,2135.363,302.45,1483.288,49d936895971441d1d90c948112ad3aca1aaf9e9cad4532deabae9d3b4d36376,1703,1327,64.96429443359375,50.62103271484375,1106,0.00421905517578125,0.006439208984375,1397,0,0.024893743884540118,0.7083815246985252,0.7853981633974483,10,2.437443683668137,0.9056095272762548,0.9196222938737909,0.8469315610859729,1703,1712,3100,0.625,0,false,panels/illustration-paint-brush-512x512.png
classic,classic,classic-v1,fnv1a-5abf1afe,silhouette-rat,strong-silhouette,CC0 1.0,https://commons.wikimedia.org/wiki/File:Rat_silhouette_(27072964899).jpg,6d453ff9a55de6503f08ad80315f8e8a09afffc28d209c806b5870aa8c4dba43,192,192,10,327.475,55.443,235.301,711981c7487e4288dadf8e8cafcffc8d79b75e7c9fc0405b781ef30e44d7d3e0,712,426,193.14236111111111,115.55989583333334,361,0.009792751736111112,0.015760633680555556,67,198,0.10985220331588133,0.629626762108595,0.7853981633974483,10,2.9434699381584957,2.797129649525838,0.18021596127590914,0.8080133555926544,712,721,1183,1.6666666666666667,0,false,panels/silhouette-rat-192x192.png
